"Family","Species","wingspan","wintering","host_usage","voltinism","Abbrev_in_phylo"
"Sphingidae","Smerinthus ocellatus",83.5,"pupa","polyphagous","univoltine","Sme.ocel"
"Noctuidae","Cerastis leucographa",31.3,"pupa","polyphagous","univoltine","Cer.leuc"
"Geometridae","Selenia tetralunaria",44,"pupa","polyphagous","bivoltine","Sel.tetr"
"Noctuidae","Agrotis exclamationis",37.8,"larva","polyphagous","bivoltine","Agr.excl"
"Noctuidae","Apamea monoglypha",47.7,"larva","polyphagous","univoltine","Apa.mono"
"Geometridae","Timandra comai",27.8,"larva","polyphagous","multivoltine","Tim.coma"
"Noctuidae","Amphipoea lucens",33.5,"egg","polyphagous","univoltine","Amp.luce"
"Noctuidae","Spargania luctuata",26.6,"pupa","oligophagous","univoltine","Spa.luct"
"Geometridae","Epirrita dilutata",35.4,"egg","polyphagous","univoltine","Epi.dilu"
"Noctuidae","Mythimna pallens",34.9,"larva","polyphagous","bivoltine","Myt.pall"
"Noctuidae","Mesoligia furuncula",21.6,"larva","polyphagous","univoltine","Mes.furu"
"Geometridae","Xanthorhoe spadicearia",20.9,"pupa","polyphagous","bivoltine","Xan.spad"
"Geometridae","Eupithecia conterminata",15,"pupa","oligophagous","univoltine","Eup.cont"
"Noctuidae","Oligia strigilis",25.7,"larva","polyphagous","univoltine","Oli.stri"
"Geometridae","Idaea sylvestraria",17.9,"larva","oligophagous","univoltine","Ida.sylv"
"Geometridae","Electrophaes corylata",26.6,"pupa","polyphagous","univoltine","Ele.cory"
"Noctuidae","Eupsilia transversa",41.3,"adult","polyphagous","univoltine","Eup.tran"
"Geometridae","Lampropteryx suffumata",27.2,"pupa","oligophagous","univoltine","Lam.suff"
"Noctuidae","Lacanobia suasa",39.4,"pupa","polyphagous","bivoltine","Lac.suas"
"Noctuidae","Apamea remissa",36.8,"larva","polyphagous","univoltine","Apa.remi"
"Erebidae","Diaphora mendica",32.1,"pupa","polyphagous","bivoltine","Dip.mend"
"Notodontidae","Gluphisia crenata",39.4,"larva","polyphagous","bivoltine","Glu.cren"
"Noctuidae","Celaena haworthii",26.5,"egg","polyphagous","univoltine","Cel.hawo"
"Geometridae","Horisme tersata",29.1,"pupa","polyphagous","univoltine","Hor.ters"
"Noctuidae","Amphipyra tragopoginis",38.6,"egg","polyphagous","univoltine","Amp.trag"
"Erebidae","Hypena crassalis",28.1,"pupa","oligophagous","bivoltine","Hyp.cras"
"Geometridae","Perizoma albulatum",19.3,"pupa","monophagous","bivoltine","Per.albu"
"Geometridae","Thera variata",27.8,"larva","oligophagous","bivoltine","The.vari"
"Noctuidae","Autographa jota",39.6,"larva","polyphagous","univoltine","Aut.jota"
"Noctuidae","Hillia iris",32.5,"egg","oligophagous","univoltine","Hil.iris"
"Noctuidae","Pyrrhia umbra",33.8,"pupa","polyphagous","bivoltine","Pyr.umbr"
"Geometridae","Petrophora chlorosata",29.4,"pupa","oligophagous","univoltine","Pet.chlo"
"Noctuidae","Autographa excelsa",40,"larva","polyphagous","univoltine","Aut.exce"
"Geometridae","Eupithecia indigata",15.6,"pupa","oligophagous","univoltine","Eup.indi"
"Geometridae","Perizoma flavofasciatum",24.9,"pupa","monophagous","univoltine","Per.flav"
"Erebidae","Colobochyla salicalis",25.6,"pupa","oligophagous","univoltine","Col.sali"
"Geometridae","Eupithecia virgaureata",17.7,"pupa","polyphagous","bivoltine","Eup.virg"
"Geometridae","Lobophora halterata",24.6,"pupa","polyphagous","univoltine","Lob.halt"
"Hepialidae","Gazoryctra ganna",36,"larva","polyphagous","univoltine","Gaz.gann"
"Geometridae","Plagodis dolabraria",33.2,"pupa","polyphagous","bivoltine","Pla.dola"
"Geometridae","Eupithecia tenuiata",16.7,"egg","oligophagous","univoltine","Eup.tenu"
"Endromidae","Endromis versicolora",75.5,"pupa","polyphagous","univoltine","End.vers"
"Notodontidae","Notodonta dromedarius",44.3,"pupa","polyphagous","bivoltine","Not.drom"
"Notodontidae","Odontosia carmelita",44.9,"pupa","polyphagous","univoltine","Odo.carm"
"Geometridae","Lycia pomonaria",0,"pupa","polyphagous","univoltine","Lyc.pomo"
"Noctuidae","Euxoa nigricans",33.8,"larva","polyphagous","univoltine","Eux.nigr"
"Noctuidae","Plusia festucae",37.9,"larva","polyphagous","multivoltine","Plu.fest"
"Geometridae","Biston betularius",46.8,"pupa","polyphagous","univoltine","Bis.betu"
"Geometridae","Bupalus piniarius",33.9,"pupa","oligophagous","univoltine","Bup.pini"
"Erebidae","Arctia caja",58.8,"larva","polyphagous","univoltine","Arc.caja"
"Geometridae","Idaea deversaria",22.5,"larva","polyphagous","univoltine","Ida.deve"
"Geometridae","Perizoma blandiatum",18.8,"pupa","monophagous","univoltine","Per.blan"
"Noctuidae","Agrotis vestigialis",33.9,"larva","polyphagous","univoltine","Agr.vest"
"Noctuidae","Orthosia cerasi",36.9,"pupa","polyphagous","univoltine","Ort.cera"
"Noctuidae","Xylena vetusta",58.6,"adult","polyphagous","univoltine","Xyl.vetu"
"Noctuidae","Rhizedra lutosa",44.8,"egg","polyphagous","univoltine","Rhi.luto"
"Geometridae","Lomographa temerata",26.2,"pupa","polyphagous","univoltine","Lom.teme"
"Geometridae","Eupithecia denotata",20.1,"pupa","oligophagous","univoltine","Eup.deno"
"Geometridae","Abraxas grossulariatus",39.1,"larva","oligophagous","univoltine","Abr.gros"
"Nolidae","Meganola strigula",21.2,"larva","oligophagous","univoltine","Meg.stri"
"Noctuidae","Conistra rubiginea",33.4,"adult","polyphagous","univoltine","Con.rube"
"Geometridae","Euphyia unangulata",24.5,"pupa","oligophagous","bivoltine","Eup.unan"
"Noctuidae","Hadena capsincola",32.6,"pupa","oligophagous","bivoltine","Had.caps"
"Noctuidae","Lacanobia contigua",36.8,"pupa","polyphagous","bivoltine","Lac.cont"
"Noctuidae","Abrostola triplasia",33.1,"pupa","oligophagous","bivoltine","Abr.tril"
"Geometridae","Carsia sororiata",22,"egg","oligophagous","univoltine","Car.soro"
"Noctuidae","Euxoa tritici",31.8,"larva","polyphagous","univoltine","Eux.trit"
"Noctuidae","Lithophane lamda",38.9,"adult","oligophagous","univoltine","Lit.lamd"
"Geometridae","Eupithecia linariata",16.4,"pupa","monophagous","bivoltine","Eup.lina"
"Notodontidae","Leucodonta bicoloria",37.5,"pupa","oligophagous","univoltine","Leu.bico"
"Geometridae","Anticollix sparsatus",21.8,"pupa","oligophagous","univoltine","Ant.spar"
"Geometridae","Macaria signaria",26.1,"pupa","oligophagous","univoltine","Mac.sign"
"Geometridae","Catarhoe cuculata",25.2,"pupa","oligophagous","univoltine","Cat.cucu"
"Geometridae","Eupithecia centaureata",17.7,"pupa","oligophagous","multivoltine","Eup.cent"
"Geometridae","Scopula incanata",25,"larva","polyphagous","univoltine","Sco.inca"
"Geometridae","Biston stratarius",45,"pupa","polyphagous","univoltine","Bis.stra"
"Noctuidae","Noctua fimbriata",54.6,"larva","polyphagous","univoltine","Noc.fimb"
"Noctuidae","Acronicta psi",40.3,"pupa","polyphagous","univoltine","Acr.psi"
"Geometridae","Cidaria fulvata",25.1,"egg","oligophagous","univoltine","Cid.fulv"
"Noctuidae","Sideridis rivularis",31.6,"pupa","oligophagous","bivoltine","Sid.rivu"
"Drepanidae","Thyatira batis",34.5,"pupa","polyphagous","bivoltine","Thy.bati"
"Erebidae","Macrochilo cribrumalis",24.9,"larva","polyphagous","bivoltine","Mac.crib"
"Noctuidae","Apamea illyria",31.2,"larva","polyphagous","univoltine","Apa.illy"
"Noctuidae","Autographa buraetica",37.9,"larva","polyphagous","univoltine","Aut.bura"
"Noctuidae","Hyppa rectilinea",36.2,"larva","polyphagous","univoltine","Hyp.rect"
"Geometridae","Xanthorhoe designata",22.6,"pupa","monophagous","multivoltine","Xan.desi"
"Drepanidae","Drepana curvatula",36.7,"pupa","polyphagous","bivoltine","Dre.curv"
"Geometridae","Camptogramma bilineatum",25.5,"larva","oligophagous","univoltine","Cam.bili"
"Geometridae","Eupithecia nanata",17.5,"pupa","oligophagous","univoltine","Eup.nana"
"Geometridae","Epirranthis diversata",34,"pupa","polyphagous","univoltine","Epi.dive"
"Geometridae","Rheumaptera undulata",29.9,"pupa","polyphagous","univoltine","Rhe.undu"
"Noctuidae","Actinotia polyodon",31,"pupa","oligophagous","bivoltine","Act.poly"
"Geometridae","Eupithecia valerianata",15.4,"pupa","oligophagous","univoltine","Eup.vale"
"Notodontidae","Notodonta ziczac",43,"pupa","polyphagous","bivoltine","Not.zicz"
"Noctuidae","Apamea furva",39,"larva","polyphagous","univoltine","Apa.furv"
"Sphingidae","Deilephila porcellus",48.9,"pupa","oligophagous","bivoltine","Dei.porc"
"Geometridae","Gnophos obfuscatus",37.5,"larva","polyphagous","univoltine","Gno.obfu"
"Geometridae","Perizoma hydratum",20.3,"pupa","monophagous","univoltine","Per.hydr"
"Noctuidae","Acronicta auricoma",34.5,"pupa","polyphagous","univoltine","Acr.auri"
"Geometridae","Lampropteryx otregiata",23.4,"pupa","monophagous","univoltine","Lam.otre"
"Lasiocampidae","Dendrolimus pini",74.6,"larva","oligophagous","univoltine","Den.pini"
"Noctuidae","Ipimorpha retusa",29.5,"egg","oligophagous","univoltine","Ipi.retu"
"Erebidae","Trisateles emortualis",26.8,"pupa","oligophagous","univoltine","Tri.emor"
"Geometridae","Peribatodes secundarius",38,"larva","oligophagous","univoltine","Per.secu"
"Noctuidae","Arenostola phragmitidis",31.3,"egg","monophagous","univoltine","Are.phra"
"Noctuidae","Dypterygia scabriuscula",37.6,"pupa","oligophagous","univoltine","Dyp.scab"
"Noctuidae","Apamea sordens",36.5,"larva","polyphagous","univoltine","Apa.sord"
"Geometridae","Cyclophora punctaria",27.5,"pupa","polyphagous","bivoltine","Cyc.punc"
"Nolidae","Nola cucullatella",19.6,"larva","polyphagous","bivoltine","Nol.cucu"
"Noctuidae","Xestia collina",30,"larva","polyphagous","univoltine","Xes.coll"
"Noctuidae","Antitype chi",35.4,"egg","polyphagous","univoltine","Ant.chi"
"Erebidae","Phragmatobia fuliginosa",32.3,"larva","polyphagous","univoltine","Phr.fuli"
"Geometridae","Campaea margaritaria",47.4,"larva","polyphagous","bivoltine","Cam.marg"
"Geometridae","Idaea humiliata",17.1,"larva","oligophagous","univoltine","Ida.humi"
"Geometridae","Jodis lactearia",22.5,"pupa","polyphagous","univoltine","Jod.lact"
"Noctuidae","Apamea unanimis",31.7,"larva","polyphagous","univoltine","Apa.unan"
"Noctuidae","Eriopygodes imbecillus",25.3,"larva","monophagous","univoltine","Eri.imbe"
"Lasiocampidae","Euthrix potatoria",57.6,"larva","polyphagous","univoltine","Eut.pota"
"Geometridae","Thetidia smaragdaria",29.6,"larva","oligophagous","univoltine","The.smar"
"Noctuidae","Apamea sublustris",42,"larva","polyphagous","univoltine","Apa.subl"
"Geometridae","Pterapherapteryx sexalata",21.7,"pupa","polyphagous","bivoltine","Pte.sexa"
"Noctuidae","Charanyca trigrammica",33.1,"larva","oligophagous","univoltine","Cha.trig"
"Notodontidae","Notodonta torva",46.9,"pupa","oligophagous","bivoltine","Not.torv"
"Geometridae","Idaea pallidata",18.1,"larva","oligophagous","univoltine","Ida.pall"
"Noctuidae","Pseudeustrotia candidula",23.6,"pupa","polyphagous","multivoltine","Pse.cand"
"Noctuidae","Euxoa cursoria",35.2,"larva","polyphagous","univoltine","Eux.curs"
"Noctuidae","Dryobotodes eremita",33.9,"egg","oligophagous","univoltine","Dry.erem"
"Noctuidae","Ammoconia caecimacula",43.1,"egg","polyphagous","univoltine","Amm.caec"
"Sphingidae","Laothoe amurensis",85.7,"pupa","oligophagous","univoltine","Lao.amur"
"Noctuidae","Sideridis reticulata",37.1,"pupa","polyphagous","bivoltine","Sid.reti"
"Noctuidae","Apamea rubrirena",41.1,"larva","polyphagous","univoltine","Apa.rubr"
"Sphingidae","Deilephila elpenor",63.5,"pupa","polyphagous","bivoltine","Dei.elpe"
"Geometridae","Ennomos erosarius",39.3,"egg","oligophagous","univoltine","Enn.eros"
"Noctuidae","Polychrysia moneta",37.4,"larva","oligophagous","bivoltine","Pol.mone"
"Geometridae","Orthonama vittatum",21.9,"larva","oligophagous","bivoltine","Ort.vitt"
"Noctuidae","Coenophila subrosea",36.5,"larva","polyphagous","univoltine","Coe.subr"
"Geometridae","Pasiphila chloerata",18.9,"egg","oligophagous","univoltine","Pas.chlo"
"Noctuidae","Melanchra persicariae",40,"pupa","polyphagous","univoltine","Mel.pers"
"Noctuidae","Autographa macrogamma",39.6,"larva","polyphagous","univoltine","Aut.macr"
"Geometridae","Larentia clavaria",33.2,"egg","oligophagous","univoltine","Lar.clav"
"Nolidae","Pseudoips prasinanus",37,"pupa","polyphagous","bivoltine","Pse.pras"
"Geometridae","Charissa obscurata",32,"larva","polyphagous","univoltine","Cha.obsc"
"Geometridae","Eupithecia trisignaria",19,"pupa","oligophagous","univoltine","Eup.tris"
"Noctuidae","Tiliacea aurago",31,"egg","oligophagous","univoltine","Xan.aura"
"Hepialidae","Hepialus humuli",67,"larva","polyphagous","univoltine","Hep.humu"
"Erebidae","Herminia tarsicrinalis",27.5,"larva","polyphagous","multivoltine","Her.tarc"
"Geometridae","Eupithecia actaeata",22.2,"pupa","monophagous","univoltine","Eup.acta"
"Noctuidae","Trachea atriplicis",44.1,"pupa","polyphagous","bivoltine","Tra.atri"
"Geometridae","Colostygia aptata",23.3,"larva","oligophagous","univoltine","Col.apta"
"Geometridae","Mesoleuca albicillata",30,"pupa","oligophagous","univoltine","Mes.albi"
"Erebidae","Lygephila viciae",36.7,"pupa","oligophagous","univoltine","Lyg.vici"
"Geometridae","Anticlea derivata",28,"pupa","monophagous","univoltine","Ant.deri"
"Hepialidae","Phymatopus hecta",29,"larva","polyphagous","univoltine","Phy.hect"
"Sphingidae","Hyles gallii",75.3,"pupa","oligophagous","bivoltine","Hyl.gall"
"Geometridae","Paradarisa consonaria",33,"pupa","polyphagous","univoltine","Par.cons"
"Noctuidae","Chilodes maritimus",29.9,"larva","oligophagous","bivoltine","Chi.mari"
"Noctuidae","Cosmia pyralina",30.9,"egg","oligophagous","univoltine","Cos.pyra"
"Noctuidae","Polia hepatica",46.9,"larva","polyphagous","univoltine","Pol.hepa"
"Geometridae","Hemithea aestivaria",29.5,"larva","polyphagous","univoltine","Hem.aest"
"Erebidae","Scoliopteryx libatrix",45.2,"adult","polyphagous","univoltine","Sco.liba"
"Erebidae","Calliteara pudibunda",52.9,"larva","polyphagous","bivoltine","Cal.pudi"
"Nolidae","Nola confusalis",19.7,"pupa","polyphagous","univoltine","Nol.conf"
"Lasiocampidae","Lasiocampa quercus",75.9,"larva","polyphagous","univoltine","Las.quer"
"Erebidae","Orgyia antiqua",0,"egg","polyphagous","univoltine","Org.anta"
"Noctuidae","Mniotype adusta",39.7,"larva","polyphagous","univoltine","Mni.adus"
"Noctuidae","Autographa mandarina",36,"larva","polyphagous","multivoltine","Aut.mand"
"Noctuidae","Deltote uncula",23.4,"pupa","oligophagous","bivoltine","Del.uncu"
"Noctuidae","Acronicta strigosa",30.4,"pupa","polyphagous","bivoltine","Acr.stri"
"Saturniidae","Aglia tau",80.6,"pupa","oligophagous","univoltine","Agl.tau"
"Notodontidae","Stauropus fagi",59.9,"pupa","polyphagous","univoltine","Sta.fagi"
"Noctuidae","Euxoa obelisca",34.2,"larva","polyphagous","univoltine","Eux.obel"
"Erebidae","Leucoma salicis",48.9,"larva","polyphagous","univoltine","Leu.sali"
"Geometridae","Colostygia olivata",24.6,"larva","oligophagous","univoltine","Col.oliv"
"Geometridae","Asthena albulata",18.5,"pupa","polyphagous","univoltine","Ast.albu"
"Geometridae","Cyclophora pendularia",24.9,"pupa","oligophagous","bivoltine","Cyc.pend"
"Geometridae","Rhodostrophia vibicaria",28.1,"larva","polyphagous","univoltine","Rho.vibi"
"Noctuidae","Hadena perplexa",31,"pupa","oligophagous","univoltine","Had.perp"
"Geometridae","Ennomos fuscantarius",38.5,"egg","monophagous","univoltine","Enn.fusc"
"Noctuidae","Elaphria venustula",20,"pupa","polyphagous","bivoltine","Ela.venu"
"Geometridae","Trichopteryx polycommata",28.6,"pupa","monophagous","univoltine","Tri.poly"
"Geometridae","Eupithecia goossensiata",17.6,"pupa","oligophagous","univoltine","Eup.goos"
"Noctuidae","Orthosia gracilis",38.3,"pupa","polyphagous","univoltine","Ort.grac"
"Geometridae","Eupithecia immundata",19,"pupa","monophagous","univoltine","Eup.immu"
"Geometridae","Eupithecia pimpinellata",20.7,"pupa","oligophagous","univoltine","Eup.pimp"
"Noctuidae","Hadena confusa",31.7,"pupa","oligophagous","univoltine","Had.conf"
"Notodontidae","Clostera anachoreta",35.9,"pupa","oligophagous","bivoltine","Clo.anac"
"Noctuidae","Papestra biren",35.7,"pupa","polyphagous","univoltine","Pap.bire"
"Erebidae","Catocala adultera",69.6,"egg","oligophagous","univoltine","Cat.adul"
"Geometridae","Eupithecia tripunctaria",18.5,"pupa","oligophagous","univoltine","Eup.trip"
"Noctuidae","Hecatera bicolorata",28.5,"pupa","polyphagous","bivoltine","Hec.bico"
"Noctuidae","Axylia putris",32.8,"pupa","polyphagous","bivoltine","Axy.putr"
"Geometridae","Aplocera plagiata",34.3,"larva","oligophagous","multivoltine","Apl.plag"
"Geometridae","Perizoma bifaciatum",19.1,"pupa","monophagous","univoltine","Per.bifa"
"Noctuidae","Mamestra brassicae",42.2,"pupa","polyphagous","bivoltine","Mam.bras"
"Sphingidae","Mimas tiliae",78.2,"pupa","oligophagous","univoltine","Mim.tili"
"Geometridae","Eupithecia abietaria",21.5,"pupa","oligophagous","univoltine","Eup.abie"
"Geometridae","Philereme vetulata",27.1,"egg","oligophagous","univoltine","Phi.vetu"
"Notodontidae","Pygaera timon",41.3,"pupa","oligophagous","univoltine","Pyg.timo"
"Sphingidae","Sphinx ligustri",104.4,"pupa","oligophagous","univoltine","Sph.ligu"
"Noctuidae","Deltote bankiana",22,"pupa","oligophagous","univoltine","Del.bank"
"Noctuidae","Actebia praecox",42,"larva","polyphagous","univoltine","Act.prae"
"Erebidae","Lygephila craccae",39.4,"egg","oligophagous","univoltine","Lyg.crac"
"Noctuidae","Mythimna straminea",35.4,"larva","polyphagous","univoltine","Myt.stra"
"Geometridae","Selenia lunularia",40.1,"pupa","polyphagous","univoltine","Sel.lunu"
"Noctuidae","Amphipyra pyramidea",49.5,"egg","polyphagous","univoltine","Amp.pyra"
"Noctuidae","Panthea coenobita",50.3,"pupa","oligophagous","bivoltine","Pan.coen"
"Erebidae","Calliteara abietis",49.7,"larva","oligophagous","bivoltine","Cal.abie"
"Geometridae","Eupithecia lariciata",19.1,"pupa","oligophagous","univoltine","Eup.lari"
"Geometridae","Acasis viretata",23.5,"pupa","oligophagous","bivoltine","Aca.vire"
"Geometridae","Eupithecia gelidata",18.5,"pupa","monophagous","univoltine","Eup.geli"
"Noctuidae","Nonagria typhae",49.9,"egg","monophagous","univoltine","Non.typh"
"Lasiocampidae","Phyllodesma ilicifolium",38.2,"pupa","polyphagous","univoltine","Phy.ilic"
"Noctuidae","Lasionhada proxima",32.5,"larva","polyphagous","univoltine","Las.prox"
"Geometridae","Epirrhoe pupillata",22.5,"pupa","oligophagous","univoltine","Epi.pupi"
"Geometridae","Eupithecia venosata",21,"pupa","oligophagous","univoltine","Eup.veno"
"Noctuidae","Noctua comes",42,"larva","polyphagous","univoltine","Noc.come"
"Geometridae","Eustroma reticulatum",26.6,"pupa","monophagous","bivoltine","Eus.reti"
"Noctuidae","Acronicta leporina",39.9,"pupa","polyphagous","bivoltine","Acr.lepo"
"Erebidae","Catocala fulminea",52.5,"egg","polyphagous","univoltine","Cat.fulm"
"Notodontidae","Furcula bifida",41.3,"pupa","polyphagous","univoltine","Fur.bifi"
"Lasiocampidae","Malacosoma castrense",38.1,"egg","polyphagous","univoltine","Mal.cast"
"Geometridae","Apeira syringaria",39,"larva","oligophagous","bivoltine","Ape.syri"
"Geometridae","Catarhoe rubidata",24.9,"pupa","oligophagous","univoltine","Cat.rubi"
"Noctuidae","Calophasia lunula",27.9,"pupa","monophagous","multivoltine","Cal.lunu"
"Noctuidae","Proxenus lepigone",25.1,"larva","monophagous","univoltine","Pro.lepi"
"Geometridae","Eupithecia subumbrata",17.4,"pupa","polyphagous","univoltine","Eup.subu"
"Geometridae","Ecliptopera capitata",24.9,"pupa","monophagous","univoltine","Ecl.capi"
"Noctuidae","Moma alpium",36.7,"larva","polyphagous","bivoltine","Mom.alpi"
"Noctuidae","Macdunnoughia confusa",31.9,"larva","polyphagous","multivoltine","Mac.conf"
"Noctuidae","Naenia typica",42.2,"larva","polyphagous","univoltine","Nae.typi"
"Noctuidae","Xestia tecta",36.2,"larva","polyphagous","univoltine","Xes.tect"
"Geometridae","Eupithecia sinuosaria",20.2,"pupa","oligophagous","univoltine","Eup.sinu"
"Notodontidae","Furcula furcula",33.6,"pupa","polyphagous","univoltine","Fur.furc"
"Noctuidae","Acronicta cuspis",43.5,"pupa","oligophagous","univoltine","Acr.cusp"
"Geometridae","Epirrhoe galiata",23.7,"pupa","oligophagous","bivoltine","Epi.gali"
"Geometridae","Epirrhoe tristata",22,"pupa","oligophagous","univoltine","Epi.tris"
"Geometridae","Dysstroma infuscatum",29.5,"larva","oligophagous","univoltine","Dys.infu"
"Noctuidae","Cucullia lactucae",47.5,"pupa","oligophagous","univoltine","Cuc.lact"
"Noctuidae","Cucullia umbratica",50.5,"pupa","polyphagous","bivoltine","Cuc.umbr"
"Erebidae","Hypena rostralis",27.6,"adult","monophagous","univoltine","Hyp.rost"
"Cossidae","Cossus cossus",79.5,"larva","polyphagous","univoltine","Cos.coss"
